gdb	gid	genomeName	pathway	step
NCBI	GCF_900129305.1	Desulfacinum infernum DSM 9756	ser	serB
NCBI	GCF_900142125.1	Malonomonas rubra DSM 5091	his	hisN
NCBI	GCF_900142125.1	Malonomonas rubra DSM 5091	ser	serB
NCBI	GCF_900167125.1	Paucidesulfovibrio gracilis DSM 16080	chorismate	fbp
NCBI	GCF_900167125.1	Paucidesulfovibrio gracilis DSM 16080	cys	serA
NCBI	GCF_900167125.1	Paucidesulfovibrio gracilis DSM 16080	his	hisN
NCBI	GCF_900167125.1	Paucidesulfovibrio gracilis DSM 16080	ser	serA
NCBI	GCF_900176045.1	Nitratiruptor tergarcus DSM 16512	ser	serC
NCBI	GCF_900176285.1	Desulfacinum hydrothermale DSM 13146	his	hisI
NCBI	GCF_900176285.1	Desulfacinum hydrothermale DSM 13146	ser	serB
NCBI	GCF_900188395.1	Desulfurobacterium atlanticum DSM 15668	chorismate	fbp
NCBI	GCF_900188395.1	Desulfurobacterium atlanticum DSM 15668	his	hisN
